Time,Game,Author,Text,Label
2025-08-06T18:18:16.392742+00:00,COD,Pneumonio,james got butt hurt because sarah said something about the streamer he overly devoted fan for,0
2025-08-06T18:18:19.168344+00:00,COD,Sarah Conner,No map awareness,1
2025-08-06T18:18:20.774047+00:00,COD,Abu Mesfer,how many games will be played today ?,0
2025-08-06T18:18:24.386605+00:00,COD,BoMbRYaRRaK24K,Someone else to win is very nice to see,0
2025-08-06T18:18:34.222977+00:00,COD,Ryan,No clutch factor,1
2025-08-06T18:18:41.107021+00:00,COD,UltraBlox,remind me who's top 1 overall currently?,0
2025-08-06T18:18:57.335789+00:00,COD,xenon,Bad peek timing,1
2025-08-06T18:19:02.423042+00:00,COD,joe bo,Are there no mods? Why is Sarah Conner not banned? Dude doesn’t stop crying,0
2025-08-06T18:19:08.400021+00:00,COD,UltraBlox,No discipline,1
2025-08-06T18:19:12.009355+00:00,COD,Pneumonio,That player is completely getting exposed,1
2025-08-06T18:19:18.426582+00:00,COD,xenon,i dont know i just need them to be in top 7,0
2025-08-06T18:19:25.838073+00:00,COD,UltraBlox,vp going to survival stage probably laughing out loud,0
2025-08-06T18:19:31.410903+00:00,COD,kx.furuhashi,Ahh bro as a Falcon fan they will sell in the finals,0
2025-08-06T18:19:39.659018+00:00,COD,joshrocks323,He’s choking on stage,1
2025-08-06T18:19:52.997496+00:00,COD,CYCLONE-52,Falcon is literally domination 150+ points,0
2025-08-06T18:20:20.162921+00:00,COD,UltraBlox,He’s getting destroyed,1
2025-08-06T18:20:24.082683+00:00,COD,xenon,it only works like that newcomers and dongy push and sage holding defensive position like those scrims falcon vs dongy,0
2025-08-06T18:20:47.316517+00:00,COD,DeadShotZM,Easy win thrown,1
2025-08-06T18:20:53.050052+00:00,COD,DandaH,what are they using for audio please people?,0
2025-08-06T18:21:12.497633+00:00,COD,xenon,scummn wont forget this,0
2025-08-06T18:22:03.165288+00:00,COD,elon tusk,This is disaster,1
2025-08-06T18:22:41.676193+00:00,COD,CLOUDFIEND,whats up with the bad player water plays,0
2025-08-06T18:22:45.193391+00:00,COD,Peter Ip,other teams should all team up and wipe falcons first thing,0
2025-08-06T18:23:18.154743+00:00,COD,WePeX,chat how many games are left to play?,0
2025-08-06T18:23:22.92083+00:00,COD,kx.furuhashi,then it will result in points deduction,0
2025-08-06T18:23:43.853091+00:00,COD,kx.furuhashi,if the organisers think is teaming,0
2025-08-06T18:23:49.428792+00:00,COD,Callmesep1,Funny ! The ones who talk bullshit about this game are still playing and watching the tournaments ! Game of aim assist ?! Like you don't have one?! Casual players bella bella go eat shit suckers,1
2025-08-06T18:24:11.269677+00:00,COD,xenon,He’s getting read every time,1
2025-08-06T18:24:52.218027+00:00,COD,WePeX,Warzone over other battle royales >>>>>,0
2025-08-06T18:24:53.287437+00:00,COD,7xqme,That was bad timing,1
2025-08-06T18:25:09.355874+00:00,COD,7xqme,they should make their points zero,0
2025-08-06T18:25:14.641214+00:00,COD,DeadShotZM,Am here to watch bedroom cheaters getting exposed,0
2025-08-06T18:26:02.741357+00:00,COD,xenon,This is stomp,1
2025-08-06T18:26:14.95466+00:00,COD,smd,like the stream for falcons 👍,0
2025-08-06T18:26:51.612217+00:00,COD,Dreidor Helskin,He keeps dying first,1
2025-08-06T18:26:55.493652+00:00,COD,BlitzCraig,"to all the Keyboard and mouse players in the chat, make some noise!!!!!!!!!!!!!!!",0
2025-08-06T18:27:13.874716+00:00,COD,Callmesep1,haha except biffle and shiftty they're bonch of room trash cheater,1
2025-08-06T18:27:42.507113+00:00,COD,xenon,Helskin no one it was one time last year World Series of Warzone vexoh was cheating and he admitted it then got banned from all competitive,0
2025-08-06T18:27:50.949158+00:00,COD,DeadShotZM,That was embarrassingly bad,1
2025-08-06T18:28:26.110916+00:00,COD,smd,its insane how falcons are so good,0
2025-08-06T18:29:15.916202+00:00,COD,Alexander M,"believe they got top 10 in their group, I just don’t know which group",0
2025-08-06T18:29:21.988213+00:00,COD,BlitzCraig,"to all the Keyboard and mouse players in the chat, make some noise!!!!!!!!!!!!!!!",0
2025-08-06T18:29:31.463219+00:00,COD,DeadShotZM,Biffle is always suspicious bro,0
2025-08-06T18:29:49.498015+00:00,COD,Alexander M,Aydan getting worked with no cheat sheet is unbelievably bad 😂,0
2025-08-06T18:30:13.72606+00:00,COD,DeadShotZM,Ayden is a well known FUCKING CHEATER,1
2025-08-06T18:30:20.310168+00:00,COD,smd,i dont even think twisted minds make top 7 today,0
2025-08-06T18:30:32.619459+00:00,COD,PartyMan,Which known and verified cheater is winning?,0
2025-08-06T18:30:54.891529+00:00,COD,DeadShotZM,Optic will never qualify the are sucks bullshit,1
2025-08-06T18:31:11.838526+00:00,COD,smd,joewo is no longer skilled,0
2025-08-06T18:31:31.482293+00:00,COD,Alexander M,Can someone find out destroys team for me please,0
2025-08-06T18:31:49.889389+00:00,COD,kx.furuhashi,talking too much session for the next 2 years,0
2025-08-06T18:32:18.026855+00:00,COD,Callmesep1,haha there is a different between streams and tournaments,0
2025-08-06T18:33:56.008501+00:00,COD,MICHAEL IMBEAULT,"you are no longer skilled haha, are you at LAN event? dont think soo bye",0
2025-08-06T18:34:40.947348+00:00,COD,xenon,That was mistake,1
2025-08-06T18:35:34.13329+00:00,COD,smd,He panics,1
2025-08-06T18:35:37.164548+00:00,COD,MICHAEL IMBEAULT,This is embarrassing,1
2025-08-06T18:35:49.22082+00:00,COD,BlitzCraig,a kid playing in his bedroom with u know what ,0
2025-08-06T18:36:16.354553+00:00,COD,Quality over Quantity,I didn’t even know aydan was popular still. I jus remember him from the Fortnite days,0
2025-08-06T18:36:27.945344+00:00,COD,BlitzCraig,oh the kid got interviewed.. why???,0
2025-08-06T18:36:33.166468+00:00,COD,Quality over Quantity,I didn’t even know Warzone was this serious,0
2025-08-06T18:37:05.673612+00:00,COD,CLOUDFIEND,"haha ?I just wanna see thes ""warzone Pros"" fight a Call of Duty League team",0
2025-08-06T18:37:32.964813+00:00,COD,BoMbRYaRRaK24K,Free farming for opponents,1
2025-08-06T18:38:33.481423+00:00,COD,BoMbRYaRRaK24K,Just so unfortunate that teams are afraid to attack some arrogant americans.,0
2025-08-06T18:39:04.045181+00:00,COD,tgulls,Did he just knock out the last tooth for Miles? fuck him,1
2025-08-06T18:40:17.71386+00:00,COD,CLOUDFIEND,That was terrible,1
2025-08-06T18:40:20.977906+00:00,COD,tgulls,"Quality over Quantity top streamers are Biffle, Aydan, Huskerrs, Fifakill",0
2025-08-06T18:41:24.397878+00:00,COD,Anthony Holmes,He’s being carried,1
2025-08-06T18:41:33.02611+00:00,COD,R jay,Can you show scummns bald head more on the big screen plz,0
2025-08-06T18:47:16.868442+00:00,COD,Lilo,They have no discipline,1
2025-08-06T18:47:21.212196+00:00,COD,xenon,"tenux and elolam are so lost without ketchup, ketchup is a cheater by the way",0
2025-08-06T18:48:26.804311+00:00,COD,xenon,He’s always late to fights,1
2025-08-06T18:48:35.513932+00:00,COD,philosophes,which round is this ?,0
2025-08-06T18:53:11.1781+00:00,COD,Irreversble,It’s called holding defensive position not playing stealthily,0
2025-08-06T18:53:46.631293+00:00,COD,xenon,what the heck is enkeo thinking,0
2025-08-06T18:54:39.668478+00:00,COD,CLOUDFIEND,not a very good holding defensive position spot cause he got knocked down,0
2025-08-06T18:56:25.647904+00:00,COD,TruthRighteousnessSalvation,Hit the like button to get this channel in the algorithm ,0
2025-08-06T18:57:14.946525+00:00,COD,Rob,headcams and nameplates have been desynched all day,0
2025-08-06T18:59:02.569907+00:00,COD,Rob,blazt and gabe palette race swapped,0
2025-08-06T18:59:30.022447+00:00,COD,Lilo,He gets exposed,1
2025-08-06T18:59:46.359512+00:00,COD,CLOUDFIEND,No reaction time,1
2025-08-06T19:01:00.612497+00:00,COD,Eighty8,"NIP banned from World Series of Warzone for cheating, wonder how many more players are cheating.",0
2025-08-06T19:01:43.479194+00:00,COD,REPLAYINFO,No clue what he is doing,1
2025-08-06T19:02:11.27653+00:00,COD,Eighty8,haha falcons the saudi org owned by saudi arabia who also owns Esports World Cup,0
2025-08-06T19:03:20.212653+00:00,COD,IceTheFoundr,He’s getting out-aimed,1
2025-08-06T19:03:28.323721+00:00,COD,Eighty8,The Founder did you know women not allowe dat Esports World Cup? bc saudi arabia,0
2025-08-06T19:03:55.696965+00:00,COD,Chris L,embarrassing celebration,0
2025-08-06T19:04:00.887835+00:00,COD,IceTheFoundr,Bro I’m here to watch some competitive war zone before anything. I don’t care for the politics,0
2025-08-06T19:04:12.03772+00:00,COD,philosophes,so by this logic VP is owned by putin bc they are russian,0
2025-08-06T19:04:18.22957+00:00,COD,REPLAYINFO,it's good that they bring good players in team falcon but I don't care about who is the owner,0
2025-08-06T19:06:04.388448+00:00,COD,𝙬𝙞𝙨𝙩𝙚𝙧𝙞𝙖,obviously they literally had womens mobile legends championship,0
2025-08-06T19:06:05.026865+00:00,COD,IceTheFoundr,He’s always late,1
2025-08-06T19:09:27.597745+00:00,COD,IceTheFoundr,Falcons are winning it all once again,0
2025-07-27T17:08:24.074703+00:00,CSGO,JoeyIsHere,Why Optic get mercenary player he just a rank player,0
2025-07-27T17:08:25.053277+00:00,CSGO,spacemind,oooffff what a game,0
2025-07-27T17:08:28.004512+00:00,CSGO,promises,reverse coming?,0
2025-07-27T17:08:39.547664+00:00,CSGO,Stuart Foxcroft,That execute was horrible,1
2025-07-27T17:08:46.138283+00:00,CSGO,Hadez,Completely overwhelmed,1
2025-07-27T17:09:07.428068+00:00,CSGO,matt,crowd holding up the lamest signs what the heck,1
2025-07-27T17:09:10.040081+00:00,CSGO,Kfloz,Foxcroft crowd isn't costing a 5-1 comeback haha deal with it some more.,0
2025-07-27T17:09:13.583455+00:00,CSGO,Kuefo,reverse sweep incoming,0
2025-07-27T17:09:49.740489+00:00,CSGO,Marshall,Optic fans be listing the wildest reasons for their loss other than them sucking,1
2025-07-27T17:10:01.869216+00:00,CSGO,Christian Mendoza,overly devoted fan would have won that gunfight,0
2025-07-27T17:10:05.856352+00:00,CSGO,thrdon walker,can someone cash ap me 7$ so I can buy 2 tall boys tonight? it's SegaBoard,0
2025-07-27T17:10:15.426237+00:00,CSGO,Boston Stats,No one saw this,0
2025-07-27T17:10:20.263835+00:00,CSGO,Brett Bentley,This is embarrassing,1
2025-07-27T17:10:28.689973+00:00,CSGO,Tony bologna,"I told ya, there is no reverse sweep",0
2025-07-27T17:10:32.144035+00:00,CSGO,matt,"so many commission but these teams are very even, good gamea for sure",0
2025-07-27T17:10:36.407985+00:00,CSGO,Washed.,HUGE plays by ReeaL & Mettalz,0
2025-07-27T17:10:49.674228+00:00,CSGO,Tony bologna,Heretics win 3-0,0
2025-07-27T17:10:50.215472+00:00,CSGO,cfinch,yup reverse sweep for optic only happens in CDL when the admins rig it for them,0
2025-07-27T17:10:58.260065+00:00,CSGO,promises,if winning 2 champs back to back is sucking then whichever team u follow is doggggg,1
2025-07-27T17:11:17.249418+00:00,CSGO,Cat Daddy Mike,Amazing cod this morning,0
2025-07-27T17:11:19.843467+00:00,CSGO,JJ_Chaser,Nice play shotzzy,0
2025-07-27T17:11:22.408859+00:00,CSGO,Marshall,No awareness,1
2025-07-27T17:11:25.689632+00:00,CSGO,cfinch,no league ops to save them this time lmaooo,0
2025-07-27T17:11:27.38904+00:00,CSGO,Shortstahp,If optic win this they take series,0
2025-07-27T17:11:28.221353+00:00,CSGO,chase,3rd choke incoming,0
2025-07-27T17:11:29.598067+00:00,CSGO,Christian Mendoza,All these greatest of all time molesters cheering,1
2025-07-27T17:11:33.842751+00:00,CSGO,Crystal Guzman,shit players,1
2025-07-27T17:11:36.341556+00:00,CSGO,Droprat,You’re trash at this game,1
2025-07-27T17:11:39.404049+00:00,CSGO,philosophes,game is crazy fun,0
2025-07-27T17:11:44.892429+00:00,CSGO,JJ_Chaser,Miami gets defensive,0
2025-07-27T17:11:47.405286+00:00,CSGO,Tony bologna,you all had to of known it was over after map 1. it was obvious,0
2025-07-27T17:11:50.314046+00:00,CSGO,Jonathan Castleman,Heretics came to play,0
2025-07-27T17:11:52.844407+00:00,CSGO,curby,No awareness,1
2025-07-27T17:11:55.021129+00:00,CSGO,Ozeeetttttt,optic is overrated as shit team,1
2025-07-27T17:11:58.629772+00:00,CSGO,Prince Roy,if optic lose this will be third choke of the day,0
2025-07-27T17:12:05.59946+00:00,CSGO,Crystal Guzman,It ain’t over til it’s over,0
2025-07-27T17:12:05.684962+00:00,CSGO,xTairz,haha Optic is the Cod Champs y’all can brag if you all win a cup 🤣🤣,0
2025-07-27T17:12:19.465186+00:00,CSGO,Marshall,No worries optic 3rd match is still in,0
2025-07-27T17:12:22.981526+00:00,CSGO,DAVZIG VON,No awareness,1
2025-07-27T17:12:24.954086+00:00,CSGO,Washed.,yooooo he almost won that,0
2025-07-27T17:12:27.971102+00:00,CSGO,jaskiranbedi1,That was awful,1
2025-07-27T17:12:44.693042+00:00,CSGO,cfinch,GOODBYE OPTIC laughing so hard,0
2025-07-27T17:12:50.490409+00:00,CSGO,Kfloz,one LAN event win whole year,0
2025-07-27T17:12:53.805041+00:00,CSGO,Tony bologna,optic just got punched in the face loser,1
2025-07-27T17:13:12.258386+00:00,CSGO,Burlixxxxxxxxxxxxxxxxxxxxxxxxx,OPTIC COME ON PLEASE,0
2025-07-27T17:13:13.520001+00:00,CSGO,Deaven Wink,He is getting farmed,1
2025-07-27T17:13:15.87726+00:00,CSGO,pnavaroo,Startung the cheating stupid loser,1
2025-07-27T17:13:20.624398+00:00,CSGO,Marshall,This is disaster,1
2025-07-27T17:13:29.178972+00:00,CSGO,Elir Haptic,"We tried.., but that search was brutal",0
2025-07-27T17:13:34.354428+00:00,CSGO,Hukk,friend what the heck was that,0
2025-07-27T17:13:35.553165+00:00,CSGO,Washed.,You’re the worst player I’ve ever seen,1
2025-07-27T17:13:36.558292+00:00,CSGO,Marshall,Imagine losing the 3rd match too,0
2025-07-27T17:13:38.728012+00:00,CSGO,ColeSlawTy,He has no aim,1
2025-07-27T17:13:41.633205+00:00,CSGO,jaskiranbedi1,good game heretic well playyedd get your win,0
2025-07-27T17:13:51.729131+00:00,CSGO,Ozeeetttttt,FLOPTIC HAHAHAHAHAH HYPE OVERRRRRRRRRRRRRRRRR,0
2025-07-27T17:13:52.527169+00:00,CSGO,Tony bologna,"optic never full stack the point, they beat themselves",0
2025-07-27T17:13:52.859499+00:00,CSGO,Brett Bentley,"Optic stacking challenge, impossible",0
2025-07-27T17:14:13.178019+00:00,CSGO,Sammy G 1,He’s getting punished instantly,1
2025-07-27T17:14:16.382401+00:00,CSGO,Marshall,3-0 loooooooooooool,0
2025-07-27T17:14:16.911258+00:00,CSGO,DayToven,good game lets go,0
2025-07-27T17:14:16.977067+00:00,CSGO,Alinomy Kataki,Wow,0
2025-07-27T17:14:17.711817+00:00,CSGO,DAVZIG VON,Your family must be ashamed of you,1
2025-07-27T17:14:19.315665+00:00,CSGO,promises,That was a brainless push,1
2025-07-27T17:14:20.080887+00:00,CSGO,Shortstahp,good game,0
2025-07-27T17:14:21.762161+00:00,CSGO,Metal Or Die,i feel like optic did not really care about ewc after the championship this is kinda just meh we will play just to play,0
2025-07-27T17:14:22.943049+00:00,CSGO,CH1EF,VAMOS!!,0
2025-07-27T17:14:27.613071+00:00,CSGO,Alinomy Kataki,He keeps throwing rounds,1
2025-07-27T17:14:28.099617+00:00,CSGO,BlaZe Nu,That’s the optic I know,0
2025-07-27T17:14:29.309652+00:00,CSGO,Cat Daddy Mike,Not over yet! Looking forward to like heretics tho,0
2025-07-27T17:14:29.480877+00:00,CSGO,Fabian Jauregui,sweep?,0
2025-07-27T17:14:36.094852+00:00,CSGO,Jim Ibarra,No adaptation,1
2025-07-27T17:14:36.904597+00:00,CSGO,tgulls,Huke lost?,0
2025-07-27T17:14:43.60344+00:00,CSGO,JoeyIsHere,That was bad timing,1
2025-07-27T17:14:46.205976+00:00,CSGO,Tito Rome,He loses fights,1
2025-07-27T17:14:57.655469+00:00,CSGO,Washed.,yooooo what a play by Shotzzy,0
2025-07-27T17:14:57.949648+00:00,CSGO,Burlixxxxxxxxxxxxxxxxxxxxxxxxx,OPTIC COME ON PLEASE,0
2025-07-27T17:15:00.437089+00:00,CSGO,Hukk,come onnnnn,0
2025-07-27T17:15:03.409913+00:00,CSGO,JussyEU,He’s the weakest link,1
2025-07-27T17:15:03.559272+00:00,CSGO,philosophes,wow,0
2025-07-27T17:15:07.939978+00:00,CSGO,KrugerRM,bruhhh,0
2025-07-27T17:15:08.880487+00:00,CSGO,Burlixxxxxxxxxxxxxxxxxxxxxxxxx,OPPPPPPPPPPPPPPPTIC COME ON!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
2025-07-27T17:15:24.856059+00:00,CSGO,Burlixxxxxxxxxxxxxxxxxxxxxxxxx,You look ugly on camera,1
2025-07-27T17:15:25.625236+00:00,CSGO,DxipNinja,YESSSSS,0
2025-07-27T17:15:25.835425+00:00,CSGO,Tony,No positioning,1
2025-07-27T17:15:26.139748+00:00,CSGO,DayToven,Kill shottzy,1
2025-07-27T17:15:28.326774+00:00,CSGO,Bruce Wayne,No map awareness,1
2025-07-27T17:15:28.412788+00:00,CSGO,AvatarRoman,This is why girls shouldn’t play shooters.,1
2025-07-27T17:15:29.004231+00:00,CSGO,João Freire,That setup was terrible,1
2025-07-27T17:15:29.938491+00:00,CSGO,Prod. JUN,LETS GOOOO,0
2025-07-27T17:15:29.961372+00:00,CSGO,Hukk,lets gooo more COD,0
2025-07-27T17:15:31.256172+00:00,CSGO,BAKUN BITZ,OPTIC LFGGGGGGG,0
2025-07-27T17:15:31.673325+00:00,CSGO,JaqenH'ghar,get in what a game,0
2025-07-27T17:15:31.888152+00:00,CSGO,Robert Stiers,WHAT A GAME!!!!!!!!!,0
2025-07-27T17:15:31.93819+00:00,CSGO,BlaZe Nu,Damn,0
2025-07-27T17:15:32.294482+00:00,CSGO,DAVZIG VON,WOWWWWW,0
2025-07-27T17:15:32.297296+00:00,CSGO,Washed.,He is getting stomped,1
2025-07-27T17:15:32.640286+00:00,CSGO,huo3 gaming,OMGGGGGGGGG,0
2025-07-27T17:15:32.683374+00:00,CSGO,Li Steel,You’re a useless piece of trash,1
2025-07-27T17:15:33.228259+00:00,CSGO,Yvessaintlorens,He is always late,1
2025-07-27T17:15:33.286881+00:00,CSGO,milzy movement,Everything goes wrong,1
2025-07-27T17:15:33.377205+00:00,CSGO,TarnishedDoom,:body-green-covering-eyes::body-green-covering-eyes::body-green-covering-eyes::body-green-covering-eyes::body-green-covering-eyes::body-green-covering-eyes:,0
2025-07-27T17:15:33.453823+00:00,CSGO,Prince Roy,damn hukr,0
2025-07-27T17:15:33.598451+00:00,CSGO,Yerr,LETS GOOO OPTIC,0
2025-07-27T17:15:33.748943+00:00,CSGO,YOUNG COMPA,Omgggg,0
2025-07-27T17:15:34.167752+00:00,CSGO,OD Shlomo,toooooooold y'aaaaaallllll,0
2025-07-27T17:15:34.182283+00:00,CSGO,th1n,I hate this fucking boy\,1
2025-07-27T17:15:34.380507+00:00,CSGO,Fabian Jauregui,no sweep,0
2025-07-27T17:15:35.253311+00:00,CSGO,Ninpo,Girls can’t play games,1
2025-07-27T17:15:35.859405+00:00,CSGO,curby,Bruuuu,0
2025-07-27T17:15:36.235222+00:00,CSGO,Levone,You’re a f***ing noob,1
2025-07-27T17:15:37.087334+00:00,CSGO,Dean C,let's go ENGLAND AND OPTIC,0
2025-07-27T17:15:37.138085+00:00,CSGO,3_yticaneT,wat a map,0
2025-07-27T17:15:37.293894+00:00,CSGO,Ariaspes,This match is completely one-sided,1
2025-07-27T17:15:37.569923+00:00,CSGO,Jengus,No way,0
2025-07-27T17:15:37.63709+00:00,CSGO,ToxiiC Plays,Embarrassing,1
2025-07-27T17:15:37.678256+00:00,CSGO,Why Not?,Oh my gawdddd,0
2025-07-27T17:15:37.679852+00:00,CSGO,s00li14,let us go,0
2025-07-27T17:15:38.140963+00:00,CSGO,James Clark,This is collapse,1
2025-07-27T17:15:38.294048+00:00,CSGO,DestinedHero,He’s losing rounds,1
2025-07-27T17:15:38.689767+00:00,CSGO,Lil Szn,They are going to come back,0
2025-07-27T17:15:39.004739+00:00,CSGO,Hunter,That decision lost them the round,1
2025-07-27T17:15:39.095676+00:00,CSGO,MrLeapFrog,He is getting farmed,1
2025-07-27T17:15:39.654045+00:00,CSGO,Glazzy,peak,0
2025-07-27T17:15:39.692424+00:00,CSGO,Alinomy Kataki,Reverse sweep incoming?,0
2025-07-27T17:15:40.377262+00:00,CSGO,Ari Tedja,That ult usage was terrible,1
2025-07-27T17:15:40.830504+00:00,CSGO,Revan,Ranked-level mistake,1
2025-07-27T17:15:41.316747+00:00,CSGO,Semperityy,It’s not over !!!!!!!!!!!!!!!,0
2025-07-27T17:15:41.869385+00:00,CSGO,sneaky scoffer,kill that shit,1
2025-07-27T17:15:42.244179+00:00,CSGO,FRANK LUCAS,O M G !!!,0
2025-07-27T17:15:42.537627+00:00,CSGO,jerahskymoonpiper,This team is disorganized,1
2025-07-27T17:15:42.990965+00:00,CSGO,GTR,let's gooooo,0
2025-07-27T17:15:43.132092+00:00,CSGO,LamarBlades,OH MY GOSH!!!!,0
2025-07-27T17:15:43.181981+00:00,CSGO,DynamiX,INSANE,0
2025-07-27T17:15:43.979355+00:00,CSGO,Mathias Sparre-Ulrich,oh my god!!!!!!!!,0
2025-07-27T17:15:44.272303+00:00,CSGO,TBNR Japao,oh my god,0
2025-07-27T17:15:44.716342+00:00,CSGO,Leslie Hudson,WOW,0
2025-07-27T17:15:44.844897+00:00,CSGO,atilc,He is useless,1
2025-07-27T17:15:45.387529+00:00,CSGO,Cat Daddy Mike,Crazy game,0
2025-07-27T17:15:45.404107+00:00,CSGO,Carm,Wow,0
2025-07-27T17:15:45.643922+00:00,CSGO,FearMeKama,That’s crazy,0
2025-07-27T17:15:45.858385+00:00,CSGO,LS8,WOOOOOOOOOOOOOW,0
2025-07-27T17:15:46.092359+00:00,CSGO,Salvatore Deluca,He can’t hold angles properly,1
2025-07-27T17:15:47.227575+00:00,CSGO,promises,w,0
2025-07-27T17:15:47.613339+00:00,CSGO,DAVZIG VON,He looks completely lost,1
2025-07-27T17:15:48.162798+00:00,CSGO,vGlock,YEA the reverse sweep is happening i don't give a fuck. Go shit yourself,1
2025-07-27T17:15:48.582681+00:00,CSGO,Fortnite Boss,That was a comeback,0
2025-07-27T17:15:48.705541+00:00,CSGO,Tony,Reverse sweep incoming!!!!!!!!!!!!,0
